Unnamed: 0,sentence,#aspect terms,aspect_terms,at_polarity,main_sentiment
2860,"जबकि अधिकतर people New Yorks के bars में drinks पर $50 से अधिक spend करने को attest कर सकते हैं और शायद ही कुछ feel कर रहे हों, यहां drinks plentiful और unique हैं।",3,"['drinks', 'bars', 'drinks']","['negative', 'negative', 'positive']",negative
618,"हमने special, grilled branzino का order किया, वह bone पर ऐसे infused था कि खाना मुश्किल था।",1,['grilled branzino'],['negative'],negative
893,हमने एक tuna melt order किया - यह बिना cheese के आया जिसमें बस एक tuna sandwich बना।,3,"['tuna melt', 'cheese', 'tuna sandwich']","['negative', 'neutral', 'negative']",negative
360,"हालांकि, मैं वहाँ बहुत time पहले dinner के लिए गया था जब London के मेरे colleague ने ceiling पर एक बहुत बड़े waterbug को देखा।",2,"['ceiling', 'dinner']","['negative', 'neutral']",negative
2574,"ओह, लेकिन wait, हमारा drinks ख़तम हो गया है (जोकि delightfully overpriced था)।",1,['drinks'],['negative'],negative
2914,"हालाकि, यह service है जो मेरे mouth में bad taste दे जाता है।",1,['service'],['negative'],negative
275,मेरे friend का food भी इसके taste के complete opposite था (aNd जैसा दिखता है)।,1,['food'],['negative'],negative
2917,"Vegetarian dishes के लिए Tamarind में dine ना करें, वे non-veg selections के लिए simply बराबर नहीं हैं।",2,"['Vegetarian dishes', 'non-veg selections']","['negative', 'positive']",negative
2481,हमें drink refills नहीं मिली और उसने हमें dessert का option भी offer नहीं किया।,2,"['drink refills', 'dessert']","['negative', 'neutral']",negative
1273,हम एक good meal के लिए फिर से इस place पर नहीं जाएंगे।,1,['meal'],['negative'],negative
2149,"दोनों times, मैं service से बहुत dissappointed था, जोकि boarderline rude था।",1,['service'],['negative'],negative
2600,"वे कम से कम में helpful नहीं हैं और आप इस time तक के आस-पास grand run पाएंगे, जब तक कि आपके आस-पास की event date न केवल इस place को चुनने का पछतावा होगा, बल्कि hostile भी हो जाएगा!",1,['place'],['negative'],negative
370,Manager ने claim किया कि वह bill पर किसी भी चीज के लिए हमें compensate नहीं कर सकता है जो कि entire group में sophistication की lackness को show करता है।,2,"['Manager', 'bill']","['negative', 'neutral']",negative
1417,"Nha Trang, comfort और decor की पूरी तरह से कमी के लिए notorious होने के बावजूद, horribly रूप से  slow wait staff और horribly quick meals, मैं अब तक के सबसे अच्छे vietnamese restaurants में से एक है। जहां pho delicious और बहुत fresh vegtables के साथ आता है।",6,"['comfort', 'decor', 'wait staff', 'meals', 'pho', 'vegtables']","['negative', 'negative', 'negative', 'negative', 'positive', 'positive']",negative
594,Menu limited है लेकिन लगभग सभी dishes उत्तम है।,2,"['Menu', 'dishes']","['negative', 'positive']",negative
184,"वह man जो party को host कर रहा था, 7 में से 1 table हमारे party के लिए save करने का promise किया था, फिर उसी table पर 2 के party को sat करके वह save (के दौरान दोनों पूरा खुल जाते थे) करने लगा।",3,"['man', 'table', 'table']","['negative', 'neutral', 'negative']",negative
2070,"अगर omakase को technique और variety का showcase, 40% से ज्यादा items BBQ-ed की serving है और एक spicy tuna roll, जो fresh nori में लिपटा हुआ भी नहीं, बल्कि एक limp performance सी दिख रही है।",3,"['spicy tuna roll', 'serving', 'nori']","['negative', 'neutral', 'negative']",negative
2395,इस restaurant का fallback केवल इसके prices हैं।,1,['prices'],['negative'],negative
886,"जैसा कि हम सब बैठकर subpar food खा रहे थे, manager ने अपने कुछ employees को मसालों के गलत containers for condiments के लिए गाली दिया और उन्हें समझाया कि ये containers कितने expensive थे।",5,"['food', 'employees', 'containers for condiments', 'containers', 'manager']","['negative', 'negative', 'negative', 'neutral', 'negative']",negative
1631,"यह एक problem है क्योंकि हमने एक dish का लगभग 20 bucks paid किया है, और एक decent taste के लिए 5 dishes का order करना पड़ा।",3,"['dish', 'taste', 'dishes']","['negative', 'neutral', 'negative']",negative
403,"Night में, लेकिन उसी luxury के लिए competition करने वाले अन्य सभी के साथ अपनी खुद का conversation सुनना मुश्किल है - background में बजने वाला music भी voluminous है।",1,['music'],['negative'],negative
1059,इसकी website में restaurant की photos असल look से अच्छी है।,1,['look'],['negative'],negative
162,"कुल मिलाकर A oh ya, हालांकि वहाँ waiting deff लायक है।",1,['waiting'],['negative'],negative
1082,"यह place cold day पर थोड़ा tight है, entrance पर seating के लिए way थोड़ा drafty हो सकता है।",2,"['seating', 'place']","['negative', 'negative']",negative
2129,"मेरा एकमात्र concern सभी business waitstaff के साथ है, जो आपको बाहर निकालते हुए food order करते हैं और नीचे throw कर देते हैं।",2,"['waitstaff', 'food']","['negative', 'neutral']",negative
392,"restaurant और bar के बीच में आधे से पिछे तक की seat न लें, मैंने एक women को 40 times वहां nudged होकर बैठे देखा है।",2,"['seat', 'bar']","['negative', 'neutral']",negative
1772,"जब हम finally बैठे थे तो हमारी waitress हमारे order के लिए दो बार आई, 1 हमारे order के लिए और 2-हमें check करने के लिए।",2,"['waitress', 'check']","['negative', 'neutral']",negative
2649,Waiters और owners इसके बारे में nonchalant थे और exterminator को call करने के लिए promise किया था लेकिन जैसा कि मैंने उम्मीद की थी कि dismayed या apologetic नहीं थीं।,2,"['Waiters', 'owners']","['negative', 'negative']",negative
87,अन्य people wait कर रहे हैं!,1,['wait'],['negative'],negative
2812,"मैं thirty minutes के लिए online wait करने से thrilled नहीं था, लेकिन मैं guess करता हूं कि यही वो price है जो आप popular place के लिए pay करते हैं।",1,['wait'],['negative'],negative
822,बहुत bad food एक ही heritage का नहीं था।,1,['food'],['negative'],negative
4,"मेरे husband ने कहा कि portions बहुत small थे, लेकिन अगर मेरे main course का portion खाने में अच्छा होता तो मेरे लिए ठीक होता।",3,"['portions', 'portion', 'main course']","['negative', 'positive', 'negative']",negative
104,ऊपर के intermediate range में priced है।,1,['priced'],['negative'],negative
2005,"हमने chicken casserole का order किया, लेकिन हमें chicken के कुछ small pieces मिले, सभी dark meat और bone वाले थे।",3,"['chicken casserole', 'chicken', 'meat']","['negative', 'negative', 'negative']",negative
2670,यह place prices के लायक नहीं है।,1,['prices'],['negative'],negative
286,"अधिक price, और छोटे portions.",2,"['price', 'portions']","['negative', 'negative']",negative
1537,"Entree धुंधली और छोटी थी, dessert inspire नहीं की थी।",2,"['Entree', 'dessert']","['negative', 'negative']",negative
2347,"इस place की तुलना Mamoun's में price के साथ, freshness, value, और consistent quality के लिए नहीं करता है, लेकिन यह मेरा केवल opinion है।",4,"['price', 'freshness', 'value', 'quality']","['negative', 'negative', 'negative', 'negative']",negative
496,मैंने Chicken Teriyaki dish का order किया और पाया कि chicken पूरी तरह से dry था।,2,"['Chicken Teriyaki dish', 'chicken']","['negative', 'negative']",negative
2051,मैंने उससे उसके employees को लेकर comments overheard किया कि यह dining area में delivered नहीं होना चाहिए था और जबकि मैं वहाँ बैठा हूँ उसने दूसरे customer को lecture दिया।,2,"['employees', 'dining area']","['negative', 'neutral']",negative
2018,Taj Mahal को छोड़कर बहुतों से और हमने ऊपर और नीचे के बहुत से wandered को खाली windows की seats को देख कर चुना।,1,['seats'],['negative'],negative
2015,"यदि आप pre-sliced low quality fish लेना mind नहीं करते हैं, तो unfriendly staff और एक sushi chef जो आपके place की तुलना में miserable दिखता है।",3,"['fish', 'staff', 'sushi chef']","['negative', 'negative', 'negative']",negative
2582,Lamb meat under-cooked और बिलकुल CHEWY था।,1,['Lamb meat'],['negative'],negative
134,"जरूरत से कम space grant की गयी, largest restaurants में मिलने वाली यह best service है।",2,"['space', 'service']","['negative', 'positive']",negative
2884,"Food गलत आ गया, waiter कहीं से भी गलत नहीं दिखा और wine meal के अंत में दिखाइ दिया। ",4,"['Food', 'waiter', 'wine', 'meal']","['negative', 'negative', 'negative', 'neutral']",negative
2352,और bill outragous था।,1,['bill'],['negative'],negative
690,"यह place वाकई में trendy है लेकिन वे एक restaurant के सबसे important part, food के बारे में भूल गए हैं।",1,['food'],['negative'],negative
194,हम अपने waiter's eye से पकड़ नहीं पाए और उसने हमें ignore कर दिया।,1,['waiter's'],['negative'],negative
1191,Sushi बकवास था।,1,['Sushi'],['negative'],negative
2657,मैं अपने पूरे life में NYC में रहा हूं और एक ही स्थान पर इतने सारे waterbugs पहले कभी नहीं देखे थे (वास्तव में एक bad dream को छोड़कर)।,1,['waterbugs'],['negative'],negative
2859,"अच्छा, हे, क्योंकि, यह ज्यादा food है लेकिन बुरा है क्योंकि dim sum छोटा portions होना चाहिए इसलिए आप ज्यादा और छोटे dishes try नहीं कर सकते हैं जिससे कि हर dish cheap हो। ",5,"['dim sum', 'food', 'portions', 'dishes', 'dish']","['negative', 'positive', 'negative', 'neutral', 'neutral']",negative
2161,"Lunch special के लिए $6.25 का price देखते हुए, dish ridiculously small था।",3,"['price', 'dish', 'Lunch special']","['negative', 'negative', 'negative']",negative
775,"जब तक हम न कहें, वो हमें dinner special न दें।",1,['dinner special'],['negative'],negative
2134,आप असल में 2 salads worth पा सकते हैं यदि आप इसे home ले जाएं और इसमें कुछ lettuce जोड़ें!,2,"['salads', 'lettuce']","['negative', 'neutral']",negative
115,"यह dinner time में और अक्सर noisy, crowded bar में अंदर जाने और table के लिए waiting से बचाता है।",3,"['bar', 'waiting', 'table']","['negative', 'negative', 'negative']",negative
218,"Food भयानक है और कुल मिलाकर, मुझे हर cost पर avoid करना होगा।",1,['Food'],['negative'],negative
474,"किसी reason से, Salmon को छोड़कर menu के सभी seafood अनुपलब्ध थे।",3,"['seafood', 'menu', 'Salmon']","['negative', 'negative', 'neutral']",negative
1737,मैं इस area में relatively नया हूँ और 2nd पर एक bagel लेने के लिए try किया और service से disappoint हो गया और मुझे लगा कि food pricey side पर बहुत अधिक था।,2,"['service', 'food']","['negative', 'negative']",negative
703,Food बहुत ज्यादा oily था।,1,['Food'],['negative'],negative
2927,"Restaurant dark और बहुत attractive नहीं है और तब आपके ऊपर चमकता हुआ spot lights है जो आपको सबसे खराब possible light में, sunglasses से पहुँच रहा है।",1,['spot lights'],['negative'],negative
296,Service वह नहीं है जो इस price category में एक joint से expect होगी।,2,"['Service', 'price category']","['negative', 'negative']",negative
946,"यदि food कम से कम अच्छा taste किया जाए तो मैं कभी complain भी नहीं किया हूँ गा, लेकिन food की quality भी भद्दी थी।",2,"['food', 'food की quality']","['negative', 'negative']",negative
131,Chef और waitress का knowledge average से कम है।,2,"['Chef', 'waitress']","['negative', 'negative']",negative
97,Sauce watery था और food में ज्यादा flavor नहीं था।,3,"['Sauce', 'food', 'flavor']","['negative', 'negative', 'negative']",negative
351,"लेकिन जो भी reason हो, prices लगभग twice जैसी high हैं।",1,['prices'],['negative'],negative
1892,"कमी केवल इतना - वे आपके bagel को toast नहीं करेंगे, और वे bagel के लिए eggs नहीं बनाते हैं।",3,"['bagel', 'eggs', 'bagel']","['negative', 'negative', 'negative']",negative
2817,"साथ ही, जब हमारी entries busy saturday night को kitchen में रुकी थी, तो owner ने हमे hold करने के लिए complimentary summer rolls भेजा था।",3,"['entries', 'summer rolls', 'owner']","['negative', 'positive', 'positive']",negative
155,जबकि wines by the glass पर्याप्त नहीं।,1,['wines by the glass'],['negative'],negative
443,"जबकि, kitchen लगभग अधिकतर slow है।",1,['kitchen'],['negative'],negative
2110,Place छोटा और cramped है लेकिन food शानदार है।,2,"['Place', 'food']","['negative', 'positive']",negative
1226,हमे लगा कि यह place foods में बहुत ज्यादा MSG cooking use कर रहा है।,2,"['foods', 'MSG cooking']","['negative', 'negative']",negative
499,दोनों times हमने एक table के लिए half hour से ज्यादा wait किया (जबकि हमारे पास reservations था)।,2,"['table', 'reservations']","['negative', 'negative']",negative
1572,"लेकिन उनके पास toaster नहीं है, जो कि strange है।",1,['toaster'],['negative'],negative
2965,एक तरह का small place है लेकिन मुझे लगता है अगर वो बहुत busy नहीं हैं तो kids या group में fit हो सकते थे।,1,['place'],['negative'],negative
1040,"Well, उनकी deliveries हमेशा के लिए होती है और food अक्सर cold होता है।",2,"['deliveries', 'food']","['negative', 'negative']",negative
2436,"Mother's Day पर अपनी mom को ले गया, और maitre d काफी rude था।",1,['maitre d'],['negative'],negative
1946,Pizza overpriced और soggy है।,1,['Pizza'],['negative'],negative
2887,"हमने उन्हें कम से कम एक frozen item को heating up करते हुए देखा, हालांकि मुझे यकीन नहीं है कि यह कौन सी dim sum dish थी।",1,['dim sum dish'],['negative'],negative
39,"Menu Prix Fixe है, इसलिए कम से कम $60 per person spent करने के लिए तैयार रहें, लेकिन यह superb food के लिए Well worth है।",3,"['Menu', 'food', 'Prix Fixe']","['negative', 'positive', 'neutral']",negative
208,यह place एक group द्वारा served किए जाने से इतना better होगा कि वास्तव में customer service को समझा जा सकेगा।,2,"['service', 'served']","['negative', 'negative']",negative
1017,"Food बहुत tasty नहीं था, इतने high quality restaurant के लिए भी portions छोटे थे।",2,"['Food', 'portions']","['negative', 'negative']",negative
2962,Deliveries में अक्सर लगभग एक hour लगता है और prices area के अन्य pizzerias से अधिक है।,2,"['Deliveries', 'prices']","['negative', 'negative']",negative
2605,"NYC में दूसरे places की तरह आपको जो sandwiches चाहिए वे एक triple-decker में आते हैं, यहाँ आपको reasonably-sized portion (और price) में वो मिल सकता है जो आप चाहते हैं।",3,"['sandwiches', 'price', 'portion']","['negative', 'positive', 'positive']",negative
1957,"Dim sum के लिए यहाँ wait ज्यादा है, लेकिन अगर आपको tables share करना पसंद नहीं है या अगर typical raucous dim sum atmosphere आपका gig नहीं है, तो यह sleek (Chinatown के लिए) alternative है।",4,"['wait', 'dim sum', 'dim sum atmosphere', 'tables']","['negative', 'neutral', 'neutral', 'positive']",negative
90,"Plain pizza soggy और कमाल wild mushroom(third generation-Fornini) pizza, हमने truffle oil से middle को (फिर से soggy बनाकर) drenched करके खाया था और कुछ नहीं।",3,"['Plain pizza', 'truffle oil', 'wild mushroom(third generation-Fornini) pizza']","['negative', 'neutral', 'positive']",negative
2799,"यदि आप cuisine से familiar नहीं हैं, तो आपको यहाँ order करने में problems हो सकती हैं और अपने साथ बहुत सा cash लेकर चलिये क्योंकि यहाँ वो credit cards accept नहीं करते हैं।",1,['cuisine'],['negative'],negative
716,"Last time जब मैं यहां गया था, तो waitress हमारा order लेने के बाद वापस नहीं आई थी।",1,['waitress'],['negative'],negative
2163,"बशर्ते, जितनी तुम्हारी bad service होगी, उतना कम money तुम्हें tip में देना है।
",3,"['service', 'money', 'tip']","['negative', 'negative', 'negative']",negative
28,"हमने menu के Thai section से कुछ beef और noodle soup dishes मंगवाए, लेकिन हमेंने ऐसा कुछ भी नहीं पाया जो Thai का हो।",3,"['beef', 'noodle soup dishes', 'menu']","['negative', 'negative', 'negative']",negative
100,"Reservations करें, लेकिन 15-20 minutes तक delay की संभावना है क्योंकि hosting staff को reservation वाले guests के seating में problem हो रही थी क्योंकि शायद Time Square के पास बहुत से walk ins थे।",4,"['hosting staff', 'Reservations', 'reservation', 'seating']","['negative', 'negative', 'neutral', 'negative']",negative
1199,इस counter में दो men को squeeze किया गया है।,1,['counter'],['negative'],negative
308,Bartender bar में खुद को friends से दूर करने में unable था।,2,"['Bartender', 'bar']","['negative', 'neutral']",negative
2833,यदि आप order कर रहे हैं तो यह downside है -- Delivery guys का attitude MAJOR है।,1,['Delivery guys'],['negative'],negative
2450,हमारे reservation के लिए 20 minutes हैं लेकिन इसने हमें cocktails के लिए कुछ time दिया और हमारे surroundings और आपस में enjoy किया।,3,"['reservation', 'cocktails', 'surroundings']","['negative', 'positive', 'positive']",negative
334,मेरा steak au poivre सबसे worst स्थिति में खाया था।,1,['steak au poivre'],['negative'],negative
656,Last time जब मैं गया था तो हम kitchen के बगल में एक corridor में एक table पर बैठे थे।,1,['table'],['negative'],negative
1985,"Food fresh नहीं था, sauces bland और बहुत oily थे।",2,"['Food', 'sauces']","['negative', 'negative']",negative
2405,"हाँ, Shanghai भी बहुत great है लेकिन उतना good नहीं है - वे उसी amount का salt प्रयोग करते हैं लेकिन sweetness को balance out किए बिना।",1,['salt'],['negative'],negative
150,"यह ऐसा है जैसे उन्होने बचा हुआ chicken लिया, oil डाला और उस पर pepper powder sprinkle किया (sauce translucent और लाल था)।",4,"['chicken', 'oil', 'pepper powder', 'sauce']","['negative', 'neutral', 'neutral', 'negative']",negative
968,"NYC के लिए cheap eat, लेकिन dosa के लिए नहीं।",2,"['dosa', 'eat']","['negative', 'positive']",negative
1468,मैंने crab cocktail का order दिया और यह एक lime juice concoction में भिगोया गया था जहां आप सभी lime का taste ले सकते थे।,3,"['crab cocktail', 'lime juice concoction', 'lime']","['negative', 'neutral', 'neutral']",negative
1578,किसी और ने dessert के लिए recommend किया - हमने वह भी छोड़ दिया।,1,['dessert'],['negative'],negative
140,"यह एक regular roll को एक inside-out roll में बदलने के लिए $2 extra cost लगता है, लेकिन यह roll size में triples से अधिक होता है, और वह केवल rice के लिए नहीं है।",4,"['roll', 'roll', 'roll', 'rice']","['negative', 'negative', 'negative', 'neutral']",negative
48,Place के नीचे मुख्य downside में nazi जैसा दिखने वाला guy है जो लगातार noise level के बारे में complain करता है।,2,"['noise level', 'guy']","['negative', 'negative']",negative
1245,यहाँ से जाते हुए यह खुला और quality value कम होते-होते considerable हो गया।,1,['quality value'],['negative'],negative
2732,कोई ambiance नहीं था।,1,['ambiance'],['negative'],negative
637,हम stalling करते हुए यह understand कर रहे थे कि ये कहाँ से आ रहे हैं लेकिन हम वहाँ an hour से कम ही रुके और अब तक उन्होने एक बार भी इसे check नहीं किया।,1,['check'],['negative'],negative
2182,Ambiance कुछ खास romantic नहीं है लेकिन management try करता है।,2,"['Ambiance', 'management']","['negative', 'positive']",negative
2828,हमने इस Thai place पर reviews को follow कर के खाया है लेकिन foods से बहुत unhappy थे।,1,['foods'],['negative'],negative
730,मेरे पास Pad Thai था और noodles चिपचिपा था।,2,"['Pad Thai', 'noodles']","['negative', 'negative']",negative
694,"Service को improve किया जा सकता था लेकिन कुल मिलाकर यह एक place है जहां restaurant experience में small things (Heavy, black, antique-seeming के लिए एक teapot) के importance को समझा जाता है।",2,"['Service', 'teapot']","['negative', 'positive']",negative
969,"Atmosphere noisy है और waiters literally चीजों को जितनी fast से कर सकते हैं, कर रहे हैं।",2,"['Atmosphere', 'waiters']","['negative', 'conflict']",negative
1452,"यदि आप new york city में रहते हैं, तो आपको time square के बाहर small restaurants में better food मिलेगा और आधा amount खर्च करना होगा।",2,"['food', 'amount']","['negative', 'negative']",negative
2204,"Mussaman curry जो मैंने order किया था water की तरह पतला था और उसके अलावा poorly fried tofu था जो इसमें मैंने order किया था, उन्होंने graciously मुझे poorly cooked potato का एक piece दिया।",3,"['Mussaman curry', 'fried tofu', 'potato']","['negative', 'negative', 'negative']",negative
2278,"जहां तक bar की बात है, यह दूसरा bad idea है।",1,['bar'],['negative'],negative
1384,और जैसे आपको मिला उसके prices high करने के way थे।,1,['prices'],['negative'],negative
2261,"मैं Roxy's को उसके लिए recommend करूंगा, लेकिन उनके food के लिए नहीं।",1,['food'],['negative'],negative
2678,"हां, आपको बैठने के लिए wait करना होगा और क्योंकि यह small है इसलिए कोई waiting area नहीं है और bar में seat पूरी तरह से ले ली गई थी।",4,"['waiting area', 'seat', 'bar', 'wait']","['negative', 'negative', 'neutral', 'negative']",negative
2192,"Dosas skimpy, unattractive और grease के साथ drip हो रहा है, और personally मैं इससे पहले कि इनमें से एक खाऊं, popcorn topping पी लूंगा। ",2,"['Dosas', 'popcorn topping']","['negative', 'neutral']",negative
2084,हम केवल pre-fixe menu के 2 choices per course से निराश थे (अन्य restaurants में 3 choices offer करते हैं) और एक ordering a la carte से समाप्त किया।,3,"['pre-fixe menu', 'choices per course', 'ordering a la carte']","['negative', 'neutral', 'negative']",negative
1271,जैसा कि वह कह रही थी कि उसका bread special bakery से आता है तब हमने उसे downtown manhathan से खरीदते देखा।,1,['bread'],['negative'],negative
1388,"इतनी rude service होने के बाद, वहाँ रहते हुए किसी भी तरह का conversation करने में interested होने पर किसी को कभी भी recommend नहीं करूंगा।",1,['service'],['negative'],negative
654,"भयानक service से bland food तक unaccommodating managers का नाम भी नहीं बताया, कुल मिलाकर experience भयानक था।",3,"['service', 'food', 'managers']","['negative', 'negative', 'negative']",negative
2984,"एक gentleman, शायद manager थे,  हमारे table पर आए, और बिना किसी smile या greetings के हमसे order के लिए पूछा।",2,"['manager', 'table']","['negative', 'neutral']",negative
992,वह superb service प्रदान करता है और उसकी कोई personality नहीं है।,1,['service'],['negative'],negative
1645,Website पर menu जैसा यहाँ कुछ भी नहीं है।,1,['menu'],['negative'],negative
2629,Food वास्तव में aweful था।,1,['Food'],['negative'],negative
2740,तब तक try मत करो जबतक तुम वहाँ बाँकी सभी hipsters की तरह hang out नहीं करते जिनका कोई sense of taste दिखायी नहीं पड़ता है।,1,['taste'],['negative'],negative
438,"Service terrible थी, हमें सबकुछ के लिए wait करना पड़ा और इससे पहले कि हमें served किया जाय, कई अलग-अलग people से same thing के लिए पूछना पड़ा।",2,"['Service', 'served']","['negative', 'negative']",negative
2825,जिस moment से हम अंदर आयें है place packed होने के बावजूद वो ज्यादा accomodating हो रहे थे।,1,['place'],['negative'],negative
1216,"Oh, मुझे bills को expensive करने के लिए भी start न करने दें!",1,['bills'],['negative'],negative
380,"Wait staff आपके business के लिए unappreciative है, लेकिन UWS इसका best pie है!",2,"['Wait staff', 'pie']","['negative', 'positive']",negative
2468,और मुझे service के terms में masses से agree करना होगा - delivery उनके Achilles' heel पर है।,2,"['service', 'delivery']","['negative', 'negative']",negative
2669,कुल मिलाकर money के लिए worth नहीं था।,1,['money'],['negative'],negative
732,Hostess offensive होने के कारण rude हो गयी है।,1,['Hostess'],['negative'],negative
2181,आपको service बहुत increase करना है,1,['service'],['negative'],negative
2241,Average से थोड़े अधिक के wines $70 से start होते हैं केवल एक selection के साथ $30 पर listed होते हैं।,1,['wines'],['negative'],negative
1329,Rice poor quality का था और इतना badly cooked था कि वह hard हो गया था।,3,"['Rice', 'quality', 'cooked']","['negative', 'negative', 'negative']",negative
1763,मेरा chow fun and chow see वास्तव में bland और oily था।,1,['chow fun and chow see'],['negative'],negative
2006,Tracks की ओर से आने वाली wind से mezzanine वाली बहती थोड़ी breez.,1,['mezzanine'],['negative'],negative
1367,"मेरे पास cod with paella था (spicy और बहुत filling, मैं एक बड़ा eater हूं और केवल half खा सकता हूं) जबकि मेरे boyfriend के पास classic fish and chips थे (फिर से, एक बड़ी serving - कम से कम  5 pieces of fish और a basketful of fries की).",5,"['cod with paella', 'fish and chips', 'serving', 'fish', 'fries']","['negative', 'negative', 'negative', 'neutral', 'neutral']",negative
2320,"Thali छोटी, thoroughly unremarkable और $14.95 की थी।",1,['Thali'],['negative'],negative
2301,"मैं East Village के Holy Basil का longtime fan रहा हूँ, और जबकि मैं यह मानता हूँ कि उनकी food की quality थोड़ी सी slip हो गयी है, जो मुझे disloyal होने पर संकोच कराता है।",2,"['food', 'quality']","['negative', 'negative']",negative
1550,जबकि Singapore Mai Fun में curry flavor नहीं था।,2,"['Singapore Mai Fun', 'curry flavor']","['negative', 'negative']",negative
174,The soup for the udon was soy sauce and water.,3,"['soup for the udon', 'soy sauce', 'water']","['negative', 'neutral', 'neutral']",negative
955,"Terrible, terrible management - बंद होना ही deserve करता है।",1,['management'],['negative'],negative
2699,Steak बहुत fatty और sauce बहुत overpowering और बहुत tasty नहीं था।,2,"['Steak', 'sauce']","['negative', 'negative']",negative
1300,वे over cooked होकर बाहर आए और cheese लगभग non-existant था।,1,['cheese'],['negative'],negative
1669,"हम लगातार अपना conversation नहीं कर पा रहे थे क्योंकि हम waitress और servants द्वारा हमें routinely order देने के लिए interrupt कर रहे थे और हमें hint कर रहे थे कि हम बहुत अधिक time ले रहे हैं - amazing, हम बस बैठ गए।",2,"['waitress', 'servants']","['negative', 'negative']",negative
1791,"हालांकि अंदर बैठने के लिए expect न करें, केवल कुछ tables हैं और वे always full रहते हैं।",1,['tables'],['negative'],negative
304,"Immediately paid करने के बाद, waiter ने money लिया और कहा, okay, you guys यहाँ से बाहर हो जाओ।",1,['waiter'],['negative'],negative
659,Food से प्रभावित नहीं।,1,['Food'],['negative'],negative
1370,आपको calamari से pass करना चाहिए।,1,['calamari'],['negative'],negative
1436,"Waiters drinks को पूरी तरह से भूल जाते हैं, food portions बहुत छोटे होते हैं, two people को एक entree share करने में problem होती है।",4,"['Waiters', 'food portions', 'drinks', 'entree']","['negative', 'negative', 'neutral', 'negative']",negative
47,Drinks के priced का बढ़ना।,2,"['Drinks', 'priced']","['negative', 'negative']",negative
2656,"जबकि room विशेषकर comfortable नहीं है, एक बार जब आप बैठ जाते हैं तो आप सब कुछ भूल जाते हैं सिवाय इसके कि आपकी plate में क्या बचा है।",2,"['room', 'plate']","['negative', 'positive']",negative
2125,"Night की highlight मेरी तरफ से fries के लिये mayonaisse थी जिसे मैंने एक food runners से receive किया था, जो अच्छा नहीं लग रहा है और bill लगभग $100 का है।",4,"['mayonaisse', 'food runners', 'bill', 'fries']","['negative', 'neutral', 'negative', 'negative']",negative
